maze; maze_size; n_threads; n_particles; execution_time
210.png"; 210x210; 20; 20; 5.27332
50 by 50 orthogonal maze.png"; 50x50; 20; 20; 0.0164765
240.png"; 240x240; 20; 20; 5.34314
220.png"; 220x220; 20; 20; 6.03726
100 by 100 orthogonal maze.png"; 100x100; 20; 20; 0.070152
230.png"; 230x230; 20; 20; 4.87596
20 by 20 orthogonal maze.png"; 20x20; 20; 20; 0.000682416
250.png"; 250x250; 20; 20; 28.7446
200 by 200 orthogonal maze.png"; 200x200; 20; 20; 0.587346
150 by 150 orthogonal maze.png"; 150x150; 20; 20; 0.352912
210.png"; 210x210; 6; 6; 4.83604
50 by 50 orthogonal maze.png"; 50x50; 6; 6; 0.0222259
240.png"; 240x240; 6; 6; 7.01541
220.png"; 220x220; 6; 6; 7.85563
100 by 100 orthogonal maze.png"; 100x100; 6; 6; 0.0540179
230.png"; 230x230; 6; 6; 5.83555
20 by 20 orthogonal maze.png"; 20x20; 6; 6; 0.000505605
250.png"; 250x250; 6; 6; 19.0731
200 by 200 orthogonal maze.png"; 200x200; 6; 6; 0.675267
150 by 150 orthogonal maze.png"; 150x150; 6; 6; 0.424831
210.png"; 210x210; 4; 4; 4.43458
50 by 50 orthogonal maze.png"; 50x50; 4; 4; 0.0158889
240.png"; 240x240; 4; 4; 8.93738
220.png"; 220x220; 4; 4; 8.96395
100 by 100 orthogonal maze.png"; 100x100; 4; 4; 0.11537
230.png"; 230x230; 4; 4; 6.69931
20 by 20 orthogonal maze.png"; 20x20; 4; 4; 0.00096251
250.png"; 250x250; 4; 4; 31.9076
200 by 200 orthogonal maze.png"; 200x200; 4; 4; 1.01623
150 by 150 orthogonal maze.png"; 150x150; 4; 4; 0.262672
210.png"; 210x210; 12; 12; 4.1938
50 by 50 orthogonal maze.png"; 50x50; 12; 12; 0.015846
240.png"; 240x240; 12; 12; 6.00021
220.png"; 220x220; 12; 12; 5.77715
100 by 100 orthogonal maze.png"; 100x100; 12; 12; 0.0677864
230.png"; 230x230; 12; 12; 4.59187
20 by 20 orthogonal maze.png"; 20x20; 12; 12; 0.000603482
250.png"; 250x250; 12; 12; 25.484
200 by 200 orthogonal maze.png"; 200x200; 12; 12; 0.438504
150 by 150 orthogonal maze.png"; 150x150; 12; 12; 0.426973
210.png"; 210x210; 1; 1; 12.4755
50 by 50 orthogonal maze.png"; 50x50; 1; 1; 0.0721901
240.png"; 240x240; 1; 1; 18.8604
220.png"; 220x220; 1; 1; 16.416
100 by 100 orthogonal maze.png"; 100x100; 1; 1; 0.306583
230.png"; 230x230; 1; 1; 18.5867
20 by 20 orthogonal maze.png"; 20x20; 1; 1; 0.00238499
250.png"; 250x250; 1; 1; 150.964
200 by 200 orthogonal maze.png"; 200x200; 1; 1; 2.7013
150 by 150 orthogonal maze.png"; 150x150; 1; 1; 0.880922
210.png"; 210x210; 4; 100; 5.87166
50 by 50 orthogonal maze.png"; 50x50; 4; 100; 0.0184514
240.png"; 240x240; 4; 100; 7.05381
220.png"; 220x220; 4; 100; 6.06762
100 by 100 orthogonal maze.png"; 100x100; 4; 100; 0.130898
230.png"; 230x230; 4; 100; 5.37433
20 by 20 orthogonal maze.png"; 20x20; 4; 100; 0.00069157
250.png"; 250x250; 4; 100; 24.3924
200 by 200 orthogonal maze.png"; 200x200; 4; 100; 0.821177
150 by 150 orthogonal maze.png"; 150x150; 4; 100; 0.785249
210.png"; 210x210; 16; 100; 4.19532
50 by 50 orthogonal maze.png"; 50x50; 16; 100; 0.0228287
240.png"; 240x240; 16; 100; 6.49589
220.png"; 220x220; 16; 100; 5.72384
100 by 100 orthogonal maze.png"; 100x100; 16; 100; 0.0810085
230.png"; 230x230; 16; 100; 5.61966
20 by 20 orthogonal maze.png"; 20x20; 16; 100; 0.000640446
250.png"; 250x250; 16; 100; 29.7881
200 by 200 orthogonal maze.png"; 200x200; 16; 100; 0.370002
150 by 150 orthogonal maze.png"; 150x150; 16; 100; 0.371289
210.png"; 210x210; 10; 100; 5.04892
50 by 50 orthogonal maze.png"; 50x50; 10; 100; 0.0144553
240.png"; 240x240; 10; 100; 7.12084
220.png"; 220x220; 10; 100; 6.67874
100 by 100 orthogonal maze.png"; 100x100; 10; 100; 0.0774536
230.png"; 230x230; 10; 100; 4.57528
20 by 20 orthogonal maze.png"; 20x20; 10; 100; 0.00073488
250.png"; 250x250; 10; 100; 21.958
200 by 200 orthogonal maze.png"; 200x200; 10; 100; 0.56639
150 by 150 orthogonal maze.png"; 150x150; 10; 100; 0.257237
210.png"; 210x210; 20; 100; 3.959
50 by 50 orthogonal maze.png"; 50x50; 20; 100; 0.0145359
240.png"; 240x240; 20; 100; 6.60986
220.png"; 220x220; 20; 100; 7.46785
100 by 100 orthogonal maze.png"; 100x100; 20; 100; 0.074271
230.png"; 230x230; 20; 100; 4.49777
20 by 20 orthogonal maze.png"; 20x20; 20; 100; 0.00061051
250.png"; 250x250; 20; 100; 33.1525
200 by 200 orthogonal maze.png"; 200x200; 20; 100; 0.528158
150 by 150 orthogonal maze.png"; 150x150; 20; 100; 0.350674
210.png"; 210x210; 6; 100; 6.57846
50 by 50 orthogonal maze.png"; 50x50; 6; 100; 0.0197951
240.png"; 240x240; 6; 100; 5.32631
220.png"; 220x220; 6; 100; 7.96471
100 by 100 orthogonal maze.png"; 100x100; 6; 100; 0.0746817
230.png"; 230x230; 6; 100; 5.23813
20 by 20 orthogonal maze.png"; 20x20; 6; 100; 0.000628272
250.png"; 250x250; 6; 100; 19.0664
200 by 200 orthogonal maze.png"; 200x200; 6; 100; 0.480783
150 by 150 orthogonal maze.png"; 150x150; 6; 100; 0.465664
210.png"; 210x210; 8; 8; 5.13405
50 by 50 orthogonal maze.png"; 50x50; 8; 8; 0.0121751
240.png"; 240x240; 8; 8; 5.14236
220.png"; 220x220; 8; 8; 6.13595
100 by 100 orthogonal maze.png"; 100x100; 8; 8; 0.15892
230.png"; 230x230; 8; 8; 3.6634
20 by 20 orthogonal maze.png"; 20x20; 8; 8; 0.000428739
250.png"; 250x250; 8; 8; 20.5853
200 by 200 orthogonal maze.png"; 200x200; 8; 8; 0.402656
150 by 150 orthogonal maze.png"; 150x150; 8; 8; 0.384081
210.png"; 210x210; 18; 18; 4.06068
50 by 50 orthogonal maze.png"; 50x50; 18; 18; 0.0172176
240.png"; 240x240; 18; 18; 5.87893
220.png"; 220x220; 18; 18; 5.46892
100 by 100 orthogonal maze.png"; 100x100; 18; 18; 0.0894687
230.png"; 230x230; 18; 18; 5.31396
20 by 20 orthogonal maze.png"; 20x20; 18; 18; 0.0005944
250.png"; 250x250; 18; 18; 32.0897
200 by 200 orthogonal maze.png"; 200x200; 18; 18; 0.528502
150 by 150 orthogonal maze.png"; 150x150; 18; 18; 0.362399
210.png"; 210x210; 12; 100; 3.73089
50 by 50 orthogonal maze.png"; 50x50; 12; 100; 0.0162628
240.png"; 240x240; 12; 100; 7.32375
220.png"; 220x220; 12; 100; 7.15343
100 by 100 orthogonal maze.png"; 100x100; 12; 100; 0.0587221
230.png"; 230x230; 12; 100; 4.40192
20 by 20 orthogonal maze.png"; 20x20; 12; 100; 0.000604949
250.png"; 250x250; 12; 100; 23.5765
200 by 200 orthogonal maze.png"; 200x200; 12; 100; 0.755758
150 by 150 orthogonal maze.png"; 150x150; 12; 100; 0.329687
210.png"; 210x210; 2; 100; 19.6062
50 by 50 orthogonal maze.png"; 50x50; 2; 100; 0.0213942
240.png"; 240x240; 2; 100; 8.10199
220.png"; 220x220; 2; 100; 9.45227
100 by 100 orthogonal maze.png"; 100x100; 2; 100; 0.318144
230.png"; 230x230; 2; 100; 8.3946
20 by 20 orthogonal maze.png"; 20x20; 2; 100; 0.0022899
250.png"; 250x250; 2; 100; 25.427
200 by 200 orthogonal maze.png"; 200x200; 2; 100; 1.65731
150 by 150 orthogonal maze.png"; 150x150; 2; 100; 0.52693
210.png"; 210x210; 14; 100; 3.64591
50 by 50 orthogonal maze.png"; 50x50; 14; 100; 0.017155
240.png"; 240x240; 14; 100; 8.21979
220.png"; 220x220; 14; 100; 6.54663
100 by 100 orthogonal maze.png"; 100x100; 14; 100; 0.110922
230.png"; 230x230; 14; 100; 4.9622
20 by 20 orthogonal maze.png"; 20x20; 14; 100; 0.000708903
250.png"; 250x250; 14; 100; 16.5655
200 by 200 orthogonal maze.png"; 200x200; 14; 100; 0.456455
150 by 150 orthogonal maze.png"; 150x150; 14; 100; 0.318453
210.png"; 210x210; 14; 14; 4.80685
50 by 50 orthogonal maze.png"; 50x50; 14; 14; 0.0126807
240.png"; 240x240; 14; 14; 5.03112
220.png"; 220x220; 14; 14; 7.83693
100 by 100 orthogonal maze.png"; 100x100; 14; 14; 0.0894259
230.png"; 230x230; 14; 14; 4.20372
20 by 20 orthogonal maze.png"; 20x20; 14; 14; 0.000666364
250.png"; 250x250; 14; 14; 26.4493
200 by 200 orthogonal maze.png"; 200x200; 14; 14; 0.394864
150 by 150 orthogonal maze.png"; 150x150; 14; 14; 0.377284
210.png"; 210x210; 8; 100; 3.67863
50 by 50 orthogonal maze.png"; 50x50; 8; 100; 0.0132989
240.png"; 240x240; 8; 100; 5.00038
220.png"; 220x220; 8; 100; 4.52918
100 by 100 orthogonal maze.png"; 100x100; 8; 100; 0.0808649
230.png"; 230x230; 8; 100; 5.44214
20 by 20 orthogonal maze.png"; 20x20; 8; 100; 0.000684475
250.png"; 250x250; 8; 100; 105.777
200 by 200 orthogonal maze.png"; 200x200; 8; 100; 0.515939
150 by 150 orthogonal maze.png"; 150x150; 8; 100; 0.393711
210.png"; 210x210; 18; 100; 5.05732
50 by 50 orthogonal maze.png"; 50x50; 18; 100; 0.00955831
240.png"; 240x240; 18; 100; 6.41714
220.png"; 220x220; 18; 100; 5.72117
100 by 100 orthogonal maze.png"; 100x100; 18; 100; 0.0691177
230.png"; 230x230; 18; 100; 4.75928
20 by 20 orthogonal maze.png"; 20x20; 18; 100; 0.000816818
250.png"; 250x250; 18; 100; 26.0617
200 by 200 orthogonal maze.png"; 200x200; 18; 100; 0.709723
150 by 150 orthogonal maze.png"; 150x150; 18; 100; 0.249007
210.png"; 210x210; 2; 2; 14.7099
50 by 50 orthogonal maze.png"; 50x50; 2; 2; 0.0345815
240.png"; 240x240; 2; 2; 14.3868
220.png"; 220x220; 2; 2; 10.4542
100 by 100 orthogonal maze.png"; 100x100; 2; 2; 0.169076
230.png"; 230x230; 2; 2; 11.3784
20 by 20 orthogonal maze.png"; 20x20; 2; 2; 0.00149374
250.png"; 250x250; 2; 2; 42.6494
200 by 200 orthogonal maze.png"; 200x200; 2; 2; 1.56588
150 by 150 orthogonal maze.png"; 150x150; 2; 2; 0.829364
210.png"; 210x210; 16; 16; 4.2754
50 by 50 orthogonal maze.png"; 50x50; 16; 16; 0.0158847
240.png"; 240x240; 16; 16; 5.56217
220.png"; 220x220; 16; 16; 5.03061
100 by 100 orthogonal maze.png"; 100x100; 16; 16; 0.0611709
230.png"; 230x230; 16; 16; 4.78642
20 by 20 orthogonal maze.png"; 20x20; 16; 16; 0.000645357
250.png"; 250x250; 16; 16; 28.0193
200 by 200 orthogonal maze.png"; 200x200; 16; 16; 0.464705
150 by 150 orthogonal maze.png"; 150x150; 16; 16; 0.372372
210.png"; 210x210; 10; 10; 4.5964
50 by 50 orthogonal maze.png"; 50x50; 10; 10; 0.01501
240.png"; 240x240; 10; 10; 6.56786
220.png"; 220x220; 10; 10; 7.79935
100 by 100 orthogonal maze.png"; 100x100; 10; 10; 0.0910118
230.png"; 230x230; 10; 10; 4.34939
20 by 20 orthogonal maze.png"; 20x20; 10; 10; 0.000779633
250.png"; 250x250; 10; 10; 23.1662
200 by 200 orthogonal maze.png"; 200x200; 10; 10; 0.738182
150 by 150 orthogonal maze.png"; 150x150; 10; 10; 0.426593
