maze; maze_size; n_threads; n_particles; execution_time
210.png"; 210x210; 1; 1; 12.4755
50 by 50 orthogonal maze.png"; 50x50; 1; 1; 0.0721901
240.png"; 240x240; 1; 1; 18.8604
220.png"; 220x220; 1; 1; 16.416
100 by 100 orthogonal maze.png"; 100x100; 1; 1; 0.306583
230.png"; 230x230; 1; 1; 18.5867
20 by 20 orthogonal maze.png"; 20x20; 1; 1; 0.00238499
250.png"; 250x250; 1; 1; 150.964
200 by 200 orthogonal maze.png"; 200x200; 1; 1; 2.7013
150 by 150 orthogonal maze.png"; 150x150; 1; 1; 0.880922
210.png"; 210x210; 4; 100; 4.86219
50 by 50 orthogonal maze.png"; 50x50; 4; 100; 0.0267273
240.png"; 240x240; 4; 100; 402.311
220.png"; 220x220; 4; 100; 7.10199
100 by 100 orthogonal maze.png"; 100x100; 4; 100; 0.0755226
230.png"; 230x230; 4; 100; 7.39383
20 by 20 orthogonal maze.png"; 20x20; 4; 100; 0.000704941
250.png"; 250x250; 4; 100; 38.8288
200 by 200 orthogonal maze.png"; 200x200; 4; 100; 0.44975
150 by 150 orthogonal maze.png"; 150x150; 4; 100; 0.647297
210.png"; 210x210; 16; 100; 4.19532
50 by 50 orthogonal maze.png"; 50x50; 16; 100; 0.0228287
240.png"; 240x240; 16; 100; 6.49589
220.png"; 220x220; 16; 100; 5.72384
100 by 100 orthogonal maze.png"; 100x100; 16; 100; 0.0810085
230.png"; 230x230; 16; 100; 5.61966
20 by 20 orthogonal maze.png"; 20x20; 16; 100; 0.000640446
250.png"; 250x250; 16; 100; 29.7881
200 by 200 orthogonal maze.png"; 200x200; 16; 100; 0.370002
150 by 150 orthogonal maze.png"; 150x150; 16; 100; 0.371289
210.png"; 210x210; 10; 100; 5.04892
50 by 50 orthogonal maze.png"; 50x50; 10; 100; 0.0144553
240.png"; 240x240; 10; 100; 7.12084
220.png"; 220x220; 10; 100; 6.67874
100 by 100 orthogonal maze.png"; 100x100; 10; 100; 0.0774536
230.png"; 230x230; 10; 100; 4.57528
20 by 20 orthogonal maze.png"; 20x20; 10; 100; 0.00073488
250.png"; 250x250; 10; 100; 21.958
200 by 200 orthogonal maze.png"; 200x200; 10; 100; 0.56639
150 by 150 orthogonal maze.png"; 150x150; 10; 100; 0.257237
210.png"; 210x210; 20; 100; 4249.27
50 by 50 orthogonal maze.png"; 50x50; 20; 100; 0.0169493
240.png"; 240x240; 20; 100; 6.09023
220.png"; 220x220; 20; 100; 7.53033
100 by 100 orthogonal maze.png"; 100x100; 20; 100; 0.090926
230.png"; 230x230; 20; 100; 6.91005
20 by 20 orthogonal maze.png"; 20x20; 20; 100; 0.000838056
250.png"; 250x250; 20; 100; 31.5897
200 by 200 orthogonal maze.png"; 200x200; 20; 100; 0.686718
150 by 150 orthogonal maze.png"; 150x150; 20; 100; 0.409711
210.png"; 210x210; 6; 100; 6.57846
50 by 50 orthogonal maze.png"; 50x50; 6; 100; 0.0197951
240.png"; 240x240; 6; 100; 5.32631
220.png"; 220x220; 6; 100; 7.96471
100 by 100 orthogonal maze.png"; 100x100; 6; 100; 0.0746817
230.png"; 230x230; 6; 100; 5.23813
20 by 20 orthogonal maze.png"; 20x20; 6; 100; 0.000628272
250.png"; 250x250; 6; 100; 19.0664
200 by 200 orthogonal maze.png"; 200x200; 6; 100; 0.480783
150 by 150 orthogonal maze.png"; 150x150; 6; 100; 0.465664
210.png"; 210x210; 12; 100; 3.73089
50 by 50 orthogonal maze.png"; 50x50; 12; 100; 0.0162628
240.png"; 240x240; 12; 100; 7.32375
220.png"; 220x220; 12; 100; 7.15343
100 by 100 orthogonal maze.png"; 100x100; 12; 100; 0.0587221
230.png"; 230x230; 12; 100; 4.40192
20 by 20 orthogonal maze.png"; 20x20; 12; 100; 0.000604949
250.png"; 250x250; 12; 100; 23.5765
200 by 200 orthogonal maze.png"; 200x200; 12; 100; 0.755758
150 by 150 orthogonal maze.png"; 150x150; 12; 100; 0.329687
210.png"; 210x210; 2; 100; 19.6062
50 by 50 orthogonal maze.png"; 50x50; 2; 100; 0.0213942
240.png"; 240x240; 2; 100; 8.10199
220.png"; 220x220; 2; 100; 9.45227
100 by 100 orthogonal maze.png"; 100x100; 2; 100; 0.318144
230.png"; 230x230; 2; 100; 8.3946
20 by 20 orthogonal maze.png"; 20x20; 2; 100; 0.0022899
250.png"; 250x250; 2; 100; 25.427
200 by 200 orthogonal maze.png"; 200x200; 2; 100; 1.65731
150 by 150 orthogonal maze.png"; 150x150; 2; 100; 0.52693
210.png"; 210x210; 14; 100; 6.12939
50 by 50 orthogonal maze.png"; 50x50; 14; 100; 0.0210619
240.png"; 240x240; 14; 100; 6.77726
220.png"; 220x220; 14; 100; 5.51429
100 by 100 orthogonal maze.png"; 100x100; 14; 100; 0.115818
230.png"; 230x230; 14; 100; 4.03969
20 by 20 orthogonal maze.png"; 20x20; 14; 100; 0.000718003
250.png"; 250x250; 14; 100; 1009.13
200 by 200 orthogonal maze.png"; 200x200; 14; 100; 0.803589
150 by 150 orthogonal maze.png"; 150x150; 14; 100; 0.378054
210.png"; 210x210; 8; 100; 3.67863
50 by 50 orthogonal maze.png"; 50x50; 8; 100; 0.0132989
240.png"; 240x240; 8; 100; 5.00038
220.png"; 220x220; 8; 100; 4.52918
100 by 100 orthogonal maze.png"; 100x100; 8; 100; 0.0808649
230.png"; 230x230; 8; 100; 5.44214
20 by 20 orthogonal maze.png"; 20x20; 8; 100; 0.000684475
250.png"; 250x250; 8; 100; 105.777
200 by 200 orthogonal maze.png"; 200x200; 8; 100; 0.515939
150 by 150 orthogonal maze.png"; 150x150; 8; 100; 0.393711
210.png"; 210x210; 18; 100; 5.05732
50 by 50 orthogonal maze.png"; 50x50; 18; 100; 0.00955831
240.png"; 240x240; 18; 100; 6.41714
220.png"; 220x220; 18; 100; 5.72117
100 by 100 orthogonal maze.png"; 100x100; 18; 100; 0.0691177
230.png"; 230x230; 18; 100; 4.75928
20 by 20 orthogonal maze.png"; 20x20; 18; 100; 0.000816818
250.png"; 250x250; 18; 100; 26.0617
200 by 200 orthogonal maze.png"; 200x200; 18; 100; 0.709723
150 by 150 orthogonal maze.png"; 150x150; 18; 100; 0.249007
